SGI,med_10m,med_20m
B52-21,0,0
B52-25,0,0
B52-26,-0.5725,-0.234
B52-27,-0.4425,-0.206
B52-28,-0.8625,-0.29
B52-31,-1.264,-0.533
B52-33,-0.803,-0.376
B52-36,-1.8915,-0.8015000000000001
B52-37,-0.066,-0.02
B52-64,0,0
B52-65,-0.933,-0.315
B53-05,-3.5805,-2.34
B53-06,-1.2145000000000001,-0.3285
B53-10,-1.078,0
B53-20,-0.0395,-0.021
B53-23,-0.0885,-0.0315
B54-01,0,0
B55-02,-0.3695,-0.0675
B55-05,-0.6895,-0.1355
B55-09,0,0
B55-13,-0.453,-0.148
B55-14,-0.001,-0.001
B55-15,-0.1425,0
B55-16,0,0
B55-17,-2.023,-0.8405
B55-19,0,0
B55-24,-0.003,0
B55-25,-0.055,0
B55-29,-2.1145,-0.9855
B55-32,-0.0055,-0.004
B55-33,0,0
B55-34,-0.579,0
B56-01,-0.01,-0.006
B56-04,0,0
B56-11,0,0
B56-13,-1.0675,0
B56-23,-0.009,-0.002
B56-24,-0.3825,-0.109
B56-28,0,0
B56-30,0,0
B57-06,-0.1705,-0.0725
B57-08,-0.348,-0.199
B57-09,-0.4505,-0.1295
B57-12,-0.019,-0.008
B57-19,0,0
B57-20,-0.6345000000000001,0
B57-21,-1.5305,-0.7895000000000001
B57-23,-1.554,0
B57-24,-0.663,0
B57-26,0,0
B57-27,0,0
B58-05,-0.4575,-0.1025
B58-06,-0.023,-0.012
B58-07,-2.0275,-1.0865
B58-10,-0.011,-0.004
B58-11,-0.2265,0
B58-13,-0.615,-0.1575
B58-15,0,0
B58-16,-0.1125,0
B58-19,-0.298,-0.107
B58-20,-0.237,0
B58-26,-0.0405,-0.019
B58-27,-0.003,-0.003
B58-28,-0.484,-0.1865
B58-30,-0.0,-0.0
B58-31,0,0
B58-34,0,0
B60-02,-0.2255,-0.059
B60-03,-1.5619999999999998,-0.3995
B60-04,-1.066,-0.441
B60-05,-0.026,-0.014
B60-06,0,0
B60-08,-0.004,-0.001
B60-10,-2.133,-0.582
B60-12,-0.005,-0.004
B60-13,-1.105,-0.321
B60-19,0,0
B60-22,-0.023,-0.011
B61-02,-0.048,0
B62-08,0,0
B62-09,-0.0,0
B62-13,-0.001,-0.001
B62-17,0,0
B63-01,-0.004,-0.0015
B63-02,0,0
B63-03,-0.8845000000000001,-0.084
B63-07,-0.0935,-0.029
B63-10,-0.0,0
B63-13,-0.9555,-0.545
B63-15,-0.002,-0.0
B63-16,-0.215,0
B63-17,-0.286,-0.0815
B63-18,-0.004,-0.001
B63-19,0,0
B64-06,-0.795,-0.318
B72-02,-0.5485,-0.141
B72-03,-0.1065,-0.031
B72-06,-0.0565,-0.02
B72-09,0,0
B72-10,0,0
B72-12,-1.073,0
B72-13,0,0
B72-16,-0.488,-0.177
B72-17,-0.005,-0.003
B72-18,-0.573,0
C00-07,-0.127,-0.025
C00-08,0,0
C00-09,-1.7814999999999999,-0.65
C00-11,0,0
C01-02,-0.008,-0.004
C01-03,-0.014,-0.007
C01-05,-0.632,-0.2765
C01-07,0,0
C01-09,0,0
C01-10,-0.006,-0.003
C02-02,-0.003,-0.002
C02-03,-0.003,-0.002
C02-05,-2.064,-0.7525
C02-06,-0.083,-0.018
C02-10,-0.001,-0.001
C03-04,-0.2,-0.0615
C04-01,-0.013,-0.005
C14-11,-0.019,-0.009
C14-12,0,0
C14-15,-0.089,-0.018
C14-17,-0.376,-0.121
C14-21,-0.4135,-0.1695
C32-01,-0.003,-0.002
C32-02,-0.38,-0.128
C32-03,-0.0175,-0.004
C32-05,-0.2715,-0.099
C33-08,-0.02,-0.008
C34-01,-0.5005,-0.1675
C35-02,0,0
C35-05,0,0
C35-09,0,0
C36-02,-0.01,0
C36-04,-0.0085,0
C42-02,-0.442,-0.128
C42-03,0,0
C43-03,-0.088,-0.024
C43-04,-0.7015,-0.2305
C43-06,-0.007,0
C43-07,-0.529,-0.2265
C43-09,0,0
